Español;Aymara
Huraño;Uri
huraño o nervioso;p’ari
Hurgar;llawq’aña
Hurgar;tear
Hurguete;Thijwa
Hurguetear;T’uxpiña
Hurgón;k’istuña
Hurtar;Lunthataña
Hurto;Lunthataña
Husmear;mukhiqaña
huso;qapu
Huérfano;wajcha
Huérfano;iñu
Huérfano;liri
Huésped;qurpachasiri
Hábil;Ch’ikhi
Hábito;jichuntaña
Hálito;Samana
Hígado;k’iwcha
hígado;qiwcha
Húmedo;muk’i
Húmedo;mak’i
Húmero;pikiru
Ibis de color negro;maqi
Ida;saraña
Idea;amuyu
Identidad;Uñt’asi
Identificar;Uñt’aña
Idioma;aru
Idiota;t’ara
Idéntico;Kikpa
iglesia;iglisia
Iglesia;ijlisa
Ignorante;ipi
Igual;kipka
Igual;Ukapachpa rakiwa
Igual;Kikpa
Igualar;khuskhachaña
Ijada;ch’illa
Ijar;Ch’illa
Iluminar;qhanayaña
Imagen;uñtasi
Imaginación;P’iqiña
Imaginar;Amuyaña
Imbécil;araku
Imitar;Yatxapayaña
Impar;Ch’ulla
Impasible;Qala chuyma
Impedimento;chakacha
Impedir;jark’aña
Impeler;Nukhuña
Imperecedero;Wiñaya
Imperio incaico con cuatro divisiones teritoriales: tawantinsuyu chinchasuyu;Tawantinsuyu
Importante;wakisiri
Imposible;Jan atkaya
Imposible;jan
Impresora;limiriri
Imprimir;limiraña
Imputar;Tumpaña
Impío;jan
Impío;Jan khuyapayiri
Impúdico;Jan p’inqani
Inaccesible;jan
Inaccesible;Jan jak’kaya
Inagotable;Jan tukusiri
Inca;inka
Incandescente;Parita
Incapacidad;inakïña
Incapaz;inamaya
Incendiar;Phichhantaña
Incendiar;irkataña
Incertidumbre;Jan chiqt’aña
Incertidumbre;jan
Incesante;Jan t’akuri
Incesante;jan
Incienso;iñsiñsu
Incinerar;Phichhantaña
Incisivo;k’achi
Inclinado;Alt’ata
Inclinar;Alt’aña
Incluir;Apkataña
Incompleto;Jan phuqhata
Inconsistente;turpa
Increpar;Tuqiña
Incrustar;k’iñintaña
Incrédulo;jan
Incrédulo;Jan yäqiri
Incubar;Jipiña
Inculcar;jinchuña
Inculpar;Tumpaña
Indecisión;pächasiña
Indeciso;Pächasiri
Indicar;wikuchaña
Indicar y dar a alguien el trabajo del día;qamayaña
Indirectamente;maysata
Indiscreto;laka
Individual;Sapa qata
Individual;sapa
Individuo;Mayni
Indivisible;jan
Indivisible;Jan jaljtiri
Indómito;Uri
Infancia;Wawäña
Infanta;imill
Infanta;Imill wawa
Infante;Yuqall wawa
Infante;yuqall
Inferior;manqhankiri
Infierno;Manqha pacha
Infinidad;Jan jakhkaya
Infinidad;jan
Infinito;Jan tukusiri
Inflexible;Ch’ullqhi
Influir;wiytaña
Informar;Yatiyaña
Infortunio;Llaki
Infructífero;jan
Infructífero;Jan achuri
Ingenio;p’iqiña
Ingenioso;ch’ikhi
Ingle;chara
ingle;charak’uchu
Ingle;Chara k’uchu
Inglés;inlisa
Ingresar;Mantaña
Inhumano;jawch’a
Iniciar;qalltaña
Inicio de la siembra de papa;sata
Ininteligible;Jan qhana
Injuriar;Tuqiña
Inmaculado;Q’uma
Inmaduro;Llullu
Inmensurable;Jan tupuña
Inmensurable;jan
Inmortal;jan
Inmortal;Jan jiwiri
Inmundicia;Q’añu
Inmóvil;Jan unxtiri
Inocente;jan
Inocente;Jan juchani
Inquietar;ch’axmiña
Inquieto;jalankaychu
Inscribir;qillqayaña
Insecto;Pankataya
Insecto que afecta el follaje y las hojas tiernas del cultivo de papa;yawa
Insecto similar al escarabajo de lomo negro y franjas blancas;k’anasillu
Insecto volador parecido al escarabajo;chinu
insensible;qalachuyma
Insensible;qala
Insensible;Qala chuyma
Inservible;q’ala
Inservible;Q’ala tukjata
Insignia;chimpuri
Insinuar;Amtayaña
Insociable;Sallqa
Insolación;lupjayaña
Insolar;Qawichaña
Insolente;Jan p’inqani
Inspector;kamani
Instalar muñecos;aqhillayaña
Instar;Achikaña
Instigar;P’iqt’aña
Institución;utt’awi
Instrucción;Yatichawi
Instruir;Yatichaña
instrumento musical de doble caña hueca;phuna
Instrumento musical de dos cañahuecas unidas;phuna
Instrumento musical de mohoseñada de tamaño mediano;irasu
Instrumento musical de tamaño grande que se ejecuta en la danza de “musiñu” o mohoseñada;salliwa
Instrumento musical de viento hecho de madera de una sola pieza;tarqa
Instrumento musical de voz gruesa que acompaña a la danza de la pinquillada;qumanchi
Instrumento musical parecido a la quena;quyqu
Instrumento o palillos para tejer a mano;p’itaña
Insulso;Inamaya
Insultar;tuqinuqaña
Insulto;jachayiri
Insulto;Jachayiri aru
Insurgente;sartasiri
Insípido;Q’ayma
Insípido;Ch’aphaqa
Inteligente;Ch’ikhi
inteligente;p’iqini
Intentar;Yanaña
Intercambiar;chhalaqaña
Interceder;arusirapiña
Interculturalidad;jakawpura
Interesada;pisitira
Interior;Manqha
Internet;llikarja
Interponer;uchantaña
Interrogar;Jiskht’aña
Interrogativo;jiskht’iri
Interrumpir;allqayaña
Intestino;jiphilla
Intestino delgado;juch’us
intestino delgado;juch’usa jiphilla
intestino grueso;thuru jiphilla
Intrigar;pitthapiña
Introducción;qalltawi
Introducir;asantaña
Introducir;Apantaña
Introducir cambios;mayjachaña
Introducir el rostro en una torta o masa blanca;ñuskuña
Introducir muebles;kallantaña
Introducir ropa u otros objetos flexibles con la mano al agua o al bolsillo;chillaña
Intruso;khurkhu
Intrépido;Jan axsariri
Inundar;qutantaña
Invadir;aywt’aña
Inventar;musaña
Inventar;Uñstayaña
Invertir;Jaqukipaña
Investigación;yatxatawi
Investigador;yatxatiri
Investigar;yatxataña
Invierno;juyphi
Invierno;Juyphi pacha
Invisible;japhalla
Invitar;jawillaña
Invocar;Jawsaña
Inválido;suchu
Inútil;Inamaya
Inútilmente;inamayaki
Iquique;lugar de sueños o de descanso
ir;saraña
Ir a paso vivo y con ropa larga;thamaña
Ir a pasos;kachaña
Ir a rescatar comida a otros lugares;jawrukuña
ir agachado o cabizbajo;k’umuña
Ir agazapado a un lugar;k’uñuña
ir corriendo;jalaña
Ir de un lugar hacia otro;iraña
Ir despacio y con cuidado;kuykuña
Ir despacio y delicadamente el niño;witiña
Ir muchos juntos;qhawsaña
Ir o caminar inclinado las personas ancianas;k’umuña
Ira;Thithiña
Iracundo;Thithi
Iremos a las 6 :00 de la mañana;Suxta alwa pachaw sarañani
Iremos hermana;Sarañani kullaka
Irse;aypanaña
Irse;sarxaña
Irse una pareja de enamorados o novios a algún lugar;irpasiña
Iré a vender;Aljiri sar ä
Iré al centro de salud / posta / hospital;Qullañ utaruw sarä
isaño (tubérculo);isañu
Isaño cocido y congelado o helado de pito de cañahua;thayacha
isla;wat’a
Ispi es con pescado, maíz, papa, ají, así se cocina;ukamaw phayaña
izquierda;ch’ika
Izquierda;Ch’iqa ampara
izquierda;ch’iqa
Izquierdo;ch’iqa
Jabonar;jawunaña
Jabón;jawuna
Jactancioso;k’uchuchu
Jactancioso;K’anchilla
Jactarse;k’anchilläña
Jadear;samaqiña
Jadear;arqhiña
jadeo;samaqi
jaguar;uthurunku
Jaguar;Jach’a titi
Jaguar;jach’a
jaguar;uturunku
Jalar;jiyaña
Jamás;janipuni
Jardinero;Uyu jaqi
Jardinero;uyu
jardín;yatiñtir uta
Jardín;Panqar uyu
Jardín;panqar
Jarra de arcilla de boca ancha para oredeñar leche;taru
Jarro;jaruchi
jarro metálico;jaruchi
Jaula;jawla
Jeep;ripi
Jefe;jilaqata
Jeme;wiku
Jeta;llint’a
Jilguero;ch’ayña
Jocoso;Laruyiri
Jofaina;Lamana
Joroba;Ati qulu
Jorobado;k’umu
Joven;tawaqu
Joven;wayna
Jovencito;waynuchu
Joya;juya
Juego;anataña
juego de canicas;ch’uti
Juego de lanzar una pequeña pelota a la pared con la palma de la mano;q’axchi
juego del frontón;q’axchi
Juego denominado el zorro y las ovejas;kumi
juego que consiste en capturar a un corredor;piska piska
juego similar a la rayuela chilena;palama
juego similar al luche;thunkhuña
Jueves;illpüru
jueves;illapüru
Jueves , ¿y tú?;Illap uru, jumasti ?
Juez;t’aqiri
Jugador;anatiri
Jugador | Atleta;Anatiri
jugar;anataña
Jugar a las bolitas de cristal o con cachinas en el suelo;t’ijchaña
jugar al trompo;chankuña
jugar o juguete;anataña
Jugaremos;Anatañani
Jugo;jilli
Jugoso;jillini
Juguete;Anataña
Juicio;t’aqawi
Juicioso;amuyasiri
Julio;Willka kuti
Junco;Tutura
Junio;mara
Junio;Mara t’aqa
Juntamente;Chika
Juntar;Apthapiña
Juntar ganado en un solo hato;tamachaña
Juntar los ganados al lugar que duermen en la noche;anthapiña
Juntarse;chikaña
Juntarse;chikäxaña
Juntos;chika
Juntos de manera unánime;mä
Jurar;juraña
Justicia;chiqankaña
Justificación;laykupa
Justo;chiqankiri
Justo;kallata
Juventud;tawaqüña
Juventud;Tawaqüña
Juventud;waynäña
Juzgar;wankillaña
Juzgar;T’aqaña
Jáquima;jakima
Júbilo;Kusisiña
Kaki;kaki
Kantuta;Qantuta
Kero;Qiru
Kerosén;kirusina
Kilo;kilu
Kilómetro;kilumitru
Kilómetro;sillk’u
Kiosko;kiwusku
La acción de odiar;uñiña
La cabeza me duele;P’iqiw usutu
La feria ya ha terminado;Qhathux tukuyxiwa
La flor de la oca;qila
la lluvia;phajsaña
La lluvia empieza en noviembre;Lapaqa phaxi na qallti
La luna llena;urt’a
La mañana de anteayer;warärmanthi
La movilidad está muy lleno;K’añaskux wali phuqhawa
La noche de anteayer;warayp’u
La parte blanca y blanda de la totora;sak’a
La persona que come sola;kachura
La persona trabajadora;k’unchhi
La puerta de mi casa es café;Uta punkujax chumphiwa
La segunda criatura de una madre;apañasiri
Laberinto;chinkana
labio;ispillu
Labio inferior de la boca;manqha
Labio leporino;qhaxilla
Labio superior de la boca;alay
Labor;Irnaqawi
Laborar;Irnaqaña
Labrar;yapuchaña
Labrar como tercera reja;laq’achaña
Laburar;kanichaña
Lactante;ñuñuri
Lactar;ñuñuña
Ladera;irama
Ladera;irana
lado;tuqi
Lado;thiya
Ladrar;wajaña
Ladrar;achjaña
Ladrido;jayi
Ladrido;achjaña
Ladrillo;Sañu tika
Ladrillo;sañu
ladrón;amparani
ladrón;lunthata
Lagartija;sutuwallu
lagartija;sut’uwaylla
Lagarto;jararankhu
Lagarto plomo que habita en el altiplano con cuevas bajo la tierra;charka
Lagaña;q’ucha
Lagaña;Qhuch’a
Lagaña;jillq’i
Lagaña de los ojos;qhuch’a
lago;quta
Lagrimear;Jachà jachsuña
Laguna;Qutaña
Laguna artificial pequeña;qhuthaña
Lamer;jallq’aña
Lamer ají levantando con los dedos;jallpaña
Laminado;sillp’a
Lampiño;Jan sunkhani
Lampiño;jan
lana;t’awra
Lana;t’arwa
Langosta;siki
Lanudo;t’arwani
Lanzadera;qhiwchhaña
Lanzadera;jaxchiña
Lanzar;jaquña
Lapidar;Ch’axiña
Lapo;T’axlli
Largas y estrechas fajas de terreno cultivable;suyu
Largo;waru
Largo;sayt’u
Largo;suqali
Las faldas del cerro;uraqta
Las franjas o listado en las mantas de arriba abajo;jat’u
Las habas , la papa y el choclo hay que hacer cocer. El queso y la carne hay que fritar;Kisumpi aychampix thixiñawa
Las mejores papas de tamaño grande;chapara
Las piedras paradas;qala
Lasciva;Aricha
Lascivo;achala
Lastimar;usuchaña
Lastimarse;usuchjasiña
Lastimarse el pie de un tropezón;t’anqharasiña
Latido;untuqi
Latir;t’ijtiña
Latrocinio;Lunthataña
Lavar;T’axsiña
Lavar;t’axsuña
Lavar los intestinos;uqutsuña
Lavarse uno mismo su ropa o los cabellos;t’axsusiña
Laxar;phiswayaña
Laxo;Phisa
Lazo;Wiska
"Lazo delgado hecho del cuero de vaca o del cuello de la llama; se usa para asegurar la reja del arado";llawirja
"Lazo delgado hecho del cuero de vaca o del cuello de la llama; se usa para asegurar la reja del arado";yawirja
Leche;millk’i
Lecho;Ikiña
Lecho o catre para dormir;kawitu
Lechuga;lichuwa
Lechuguilla;sik’i
Lechuza;Ch’usiqa
Lector;uñiri
Lector;ulliri
Lector de coca;uñiri
Leer;uñaña
Leer;ullaña
Leer mediante la coca o naipes;uñaña
Leeremos libro;Pank a ullañani
Leeremos libro;Pank ullarañani
legua;tupu
Legumbre;mik’ulla
lejos;jaya
Lejía;llujt’a
Lema;Katu aru
Lema;Amta aru
Lema;amta
Lema;katu
lengua;laxra
Lenguaje;Jaqi aru
lenguaje, idioma o palabra;aru
Lentamente;kallaki
lento;jari
Lento;k’acha
leopardo;muluphisi
Lerdo;tarma
Lerdo;lat’u
Letra;qillqa
Levadura para elaborar pan u otras masas;p’usqu
Levantar;Sartaña
Levantar;Aptaña
Levantar algo o a alguien a lo alto sujetando con la cuerda o con la mano;waytaña
Levantar algo pesado;jiktaña
Levantar caña de azúcar o un palo largo y pesado sobre el hombro;qhiwtaña
Levantar con la palma de la mano una porción de harina o cereales;jich’taña
Levantar con los dientes del suelo;achtuña
Levantar el perro algo del suelo con la boca;achtaña
Levantar el polvo por la acción del viento o el paso de los automóviles;q’uymiña
Levantar la cabeza y el labio superior en señal de burla;sinqaña
Levantar la prenda o cuerda del suelo;iqtuña
Levantar un palo u algún objeto largo con las manos;aytaña
Levantar una ropa o cuerda del suelo;iqtaña
Levantarse de la cama en las mañanas;sartaña
Levantarse de pronto después de un sueño;thuqthapiña
ley;kamachi
Leña;phayañ
Leña;Phayañ lawa
Liar;ñach’aña
liberar;antutaña
Liberar;Qhispiyaña
Libertad;qhispiña
Libra;liwra
Librar;Qhispiyaña
Libre;Qhispita
Libre;inaki
Libro;panka
libélula;chhixwiriri
Licenciado;qamayu
Licuar;Chulluyaña
liebre;liwri
Liendre;ch’iñi
Ligar;chinthapiña
Ligero;Phisna
Lila;lila
Limar;khithuña
limpiar;q’umachaña
Limpiar con escoba el montón de quinua;mullmaña
Limpio;q’uma
limpio o puro, nombre de la ceremonia para limpiar un hogar o una familia de enfermedades;llumpaqa
Linaje;Jatha
Lindo;kusa
Lingüista;aru
Lingüista;Aru kamani
Lingüística;aruyati
Lirima;donde toma agua el zorro
Liso;llusk’a
Lisonjero;q’asq’a
Listo;Ch’ikhi
Litera;rampa
Litera;Kallaña
Liviano;suja
Liviano;phisna
Liviano;k’awayu
Llaga;Llilli
llama;qawra
Llama;lawra
llama;qarwa
Llama de fuego;nina
Llama macho que va a la cabeza de la tropa;warkhira
Llama macho semental;sarija
llamar;jawsaña
Llamar a alguien con ademanes;khiwch’ukiña
Llamar al viento para separar los cereales y otros de su cáscara;suqaña
Llamaremos por celular;Silularat jawsañani
Llameante;lawriri
Llameante;aqiri
Llamear;lawraña
Llano;Khuskha
Llanto;Jacha
Llantén;lanti
Llantén;Lanti lanti
llantén;saqarara
Llanura;Pampa
Llave;llawi
Llegada;puriña
Llegar;puriña
Llegaste atrasado;Qhipt’ataw purinta
Llenar;phuqht’aña
Llenar;jullch’uchaña
Llenar;jullp’uchaña
Llenarse;jullch’uptaña
Llenarse de nubes ralas el cielo;sullphiña
Lleno;phuqha
Lleno;jullch’u
Lleno;jullp’u
Lleno de líquido hasta el borde;llusu
llevar;apaña
Llevar;jikhaña
Llevar a una persona en brazos o un objeto pequeño en una sola mano;ichuña
Llevar agua en un recipiente;qichiña
Llevar agua o saliva en la boca;muxch’iña
llevar algo a la espalda;q’ipiña
Llevar algo en el regazo;jarphiña
Llevar algo en la balsa;yampuña
Llevar algo en la boca o en el pico;achuña
llevar algo en la pollera;t’imphiña
llevar algo entre dos personas;kallaña
llevar algo mediano con las dos manos;ituña
llevar algo pequeño con las dos manos;phuxtuña
Llevar barro en la pala para elaborar adobe o rebocar una pared;lankaña
Llevar brasas o ascuas en un tiesto;qaraña
Llevar cereales o cosas en una tela cuadrada sosteniendo en el cuello;lak’uña
llevar en brazos;ichuña
Llevar en la boca hueso o algo el perro u otros animales a una distancia determinada;achumukuña
Llevar en la mano una prenda de vestir o soga para algún objetivo;iqaña
Llevar en las manos un palo o alguna cosa larga y sólida;ayaña
Llevar en litera o en palos atados en una manta;wantuña
Llevar en los brazos como sea un montón de ropa u objetos flexibles;qulluña
Llevar en una sola mano una porción o puñado productos granulados;jach’iña
Llevar fuego encendido;wiyaña
Llevar gavilla de cebada o parecidos en los brazos;marqaña
Llevar la carga con las manos;unkuña
Llevar la paja encendida;yupaña
Llevar la paja encendida o fuego ardiendo;yuwaña
Llevar papas u otros productos agrícolas tomando de las cuatro puntas del manteo o aguayo;t’imphiña
Llevar productos en la falda;wit’uña
Llevar productos en la manta amarrada al cuello;t’imphiña
Llevar ropa;jujchiña
Llevar semillas o cosas menudas en las dos palmas de la mano juntas;phuxtuña
Llevar sobre el hombro un palo largo u objetos similares;qhiwiña
Llevar un animal atando y jalando por la cuerda;jiskhaña
Llevar un bulto con las dos manos;inkuña
Llevar un haz de leña o mies debajo del brazo;lluk’uña
Llevar una bolsa;wayuña
Llevar una cosa concreta y pesada de un lugar a otro con las dos manos;ituña
Llevar una cosa cóncava;asaña
Llevaremos los animales al cerro;Uywanak qu llur anakiñani
Llevarse;Apasiña
Llorar;jachaña
Llorar demasiado;jitinasiña
Llorar el niño a todas voces;pututiña
Llorar sostenidamente;warariña
Lloriquear;k’alaña
Llorón;q’asawalla
Llorón;k’alali
Llorón;jachiri
llorón;jachawalla
Llover;jalluña
Llovizna;suxa
Llovizna;sulla
Lloviznar;sullaña
Lluta;resbaloso
lluvia;jallu
Llévame a tu casa;Utamaru irpita
Lo que roe o destruye la polilla;kharu
lo siento;sientasti
Loar;Aytaña
Loc;Paytaña
Loc;Willsuña
Loc;Marqsuña
Loc;Ansuña
Loc;Irmuña
Loc;Ichsuña
Loc;Amxasiña
Loc;Qullqì apsuña
Loc;Warsuña
Loc;Chuymà lunthataña
Loc;Chupika
Locha;such’i
Loco;luqhi
Locoto;luquti
Locura;luqhiptaña
Lodazal;ñiq’i
Lodazal;Ñiq’i ñiq’i
Lodo;juri
lombriz;sillq’u
Lomo cortante o silueta del cerro;sirka
Longitud;waru
Loro;k’alla
Los bebés mellizos;pacha
Los días sin lluvia;phajsa
Lozano;qhallalliri
Lozanía;qhallallt’aña
Lucero;ururi
Luchar;Nuwasiña
Luciérnaga;phichhinkilla
Ludir;khakhuña
Luego;kayllaki
Lugar;chaqa
Lugar aplanado en la parcela para amontonar papa escarbada;qaxa
Lugar barranco y quebrado en forma de río en zigzag;q’inq’u
Lugar de césped donde la llama suele depositar su excremento;chhuynu
Lugar de pelea y lucha;nuwasiwja
Lugar donde cayó el relámpago;axata
Lugar donde descargó el rayo;qaxyata
Lugar donde hay oro;chuqi
Lugar hueco para conservar la papa enterrándola;q’ayru
Lugar o comunidad detrás de la cordillera;khuräxa
Lugar o espacio para pisar quinua;jañira
Lugar o paraje desértico y silencioso;wasa
Lugar para realizar ceremonias;qanasa
Lugar pelado donde se trillan las mieses;q’araña
Lugareño;markankiri
Luminoso;Llijuri
luna;phaxsi
Luna cuarto creciente;jalantiri
Luna en la fase cuarto creciente;llulluqa
luna llena;urt’a
luna menguante;sunaqi
Luna menguante;jaqukipta
luna nueva;wawa phaxsi
Luna nueva;wawa
Luna | Mes;Phaxsi
lunar;ana
Lunarejo;anani
lunes;pahaxsuru
Lunes;phaxsüru
lunes de carnaval;jisk’a anata
Lunes de carnaval;jisk’a
Lustrar;Llijtayaña
Luto;jach’ira
luz;qhana
luz de luna;phaxsi qhana
luz solar;lupi
Luzbel;Supaya
Lágrima;jacha
Lámina;sillp’u
Lámina u hoja de uso escolar;pilpata
Lápiz;k’illiña
Lástima;awiriya
Látigo;jawq’aña
Léxico;aru
Léxico;Aru khumta
Límite;Qurpa
Línea;Siqi
Líquido ralo;upi
Lóbrego;tuta
lúcuma;lujma
Macana;Jawq’aña
Machacar;Ch’axiña
macho;urqu
Machucar;ch’axiña
Macizo;Ch’ullqhi
madeja;juñi
Madera;K’ullu
Madrastra;Qhipa tayka
Madrastra;qhipa
Madre;tayka
Madre tierra;pacha
madre tierra, divinidad femenina principal;pachamama
Madrecita;mamala
Madrina;ichu
madrugada;willjta
Madrugar;willjtat
Madrugar;Willjtat sartaña
Maduración;puquña
Madurar;puquña
Maduro;puquta
Maestro;Yatichiri
Magister;masayu
maguey;sawila
Maguey;chuchawa
Magullar;ch’inqhaña
Magullar;ch’anqhaña
Magíster;Masayu
Maizal;Tunqu yapu
Maizal;tunqu
Majar;Ch’axiña
Mal;jan
Mal;Jan wali
Mal agüero;qhinchha
Mal de altura;suruxchi
mal de altura;punaw usutawa
Mal paraje;urani
Mala suerte;jalla
malaria;chhujcchu
Malaria;chujchu
Malcriado;Jan wali yatichata
Malcriado;jan
Maldecir;jachjaña
Maldición;jachjaña
Maldición;ñanqhacha
Maldito;Sinti qhuru
Maldito;sinti
Maleza;Qura
Malgastar;Tukjaña
Malgastar;tukuntaña
Malhechor;ñanqhachiri
Maligno;ñanqha
malo;japtaña
malo;ñanqha
malo;qhuru
Malo | Bravo;Qhuru
Malograr;Allqayaña
Malparir;Sulluña
Maltratar;usuchjaña
Malvado;saxra
Mama;Ñuñu
Mamar;Ñuñuña
Mamá;mamaku
Mamífero roedor parecido a la ardilla de color plomo y pelos finos;chinchilla
Manada de llamas u ovejas;qhachhulara
Manantial;jalsu
Manantial;Phuju
Manantial;uma
Manar;Jalaña
Manceba;sipasi
Mancha;Q’añu
Manchar;Q’añuchaña
Manco;sunku
Manco;k’uk’illu
Mandar;Kamachiña
Mandar mensaje electrónico a una o muchas personas a la vez;qupuchaña
Mandato;Kamachi
Mandíbula;tiranqaya
Manejar;apnaqaña
Manejar un objeto esférico de un lugar a otro;irnaqaña
Manejar un objeto muy pequeño en una mano o a un niño en brazos;ichnaqaña
Manejar una bolsa;waynaqaña
Manejar una cosa cóncava;asnaqaña
Manga;mankasa
Mango;katu
Maniatar;maniyaña
Maniatar una oveja de las patas para que no corra o escape;khathallt’aña
Manjares que uno recibe por los rezos efectuados;risjata
mano;ampara
Manojo;q’api
Manojo de tallos de cereales;chhulla
Manosear;Llawq’aña
Manosear;inkaña
Manso;axa
Manta;phullu
manta que se usa sobrepuesta a la espalda;manta
Mantel;inkuña
Mantener;Katxasiña
Manteo;mantiyu
Mantilla;phalt’a
mantilla que se usa para cargar al niño;junt’xallu
Manto;llaqulla
Manzana por madurar;qhulla
maní;chuqupa
Mar;lamar
Mar;Lamar quta
mar;mama quta
mar;lamarquta
Maraña;Pixtu
Marca;Chimpu
marca o señal;chimpu
Marcado en forma de u;p’asaqa
Marcar;puylluña
marcar;chimpuña
Marcar con tierra roja el ganado;takuña
Marcar el ganado ovino;k’illphaña
Marchitar;suwaraña
Marco teórico de una investigación;yati
mareo;chankapura
Margen;Thiya
Maribel , en tu casa ¿ qué alimento tienes?;Maribel, utaman kuna juyranitasa?
Marido;Chacha
Marido o amante;jaynu
Marimacho;urquchi
mariposa;pilpintu
Mariposa de gran tamaño;kallampatu
Mariposa nocturna;taparaku
Mariquita;sawuri
Marlo;thulu
Maroma;Phala
Marrón;Ch’umphi
Martes;atüru
martes;äturu
Martillo;liq’iña
Marzo;achuqa
Masa;chaputa
Mascar;q’awchiña
Mascar pasto los animales abriendo la boca;janch’aña
Masculino;chacha
Masticable;q’awchiña
Masticar;Q’awchiña
Masticar;khisthuña
Masticar con la boca llena;ñap’uña
masticar hojas de coca;akhulliña
Mata;ali
Mata de la papa;jut’i
Matar;Jiwayaña
Materia;kamiña
Matizar;Samichaña
matorral;ch’umi
Matrimonio;jaqichawi
Maullar;Jachaña
Maxilar inferior;qhanachu
Mayo;llamayu
Mayor;jilïri
Mazamorra;Allpi
Mazo;Jawq’aña
Mazorca;Chhuxllu
maíz;tunqu
Maíz blanco;much’u
Maíz blanco de granos grandes;tamalu
mañana;arumanthi
Mañana;qhara
Mañana;arumirja
mañana;qharuru
Mañana (el día de mañana);Qharüru
Mañana en la tarde yo haré;Qharayp’uw naya x lurä
Mañana es día de descanso (feriado) , no vamos a venir;Qharurux samarañ uruwa, janiw
Mañana es jueves, ¿ en qué mes estamos?;Qhar urux illap uruniwa, kuna phaxsi nktan sa?
Mañana hablamos hermano;Arumanthi w aruskipañani jilata
Mañana no voy a trabajar, pasado mañana trabajaré;Q haruru x janiw irnaq kati, jurp uruw irnaq ä
mañana por la mañana;arumanthi
mañana por la mañana;arumirja
mañana por la tarde;qharayp’u
Mañana será Domingo;Qharurux inti uruniwa
Mañana será martes;Qhar urux saxra uruniwa
Mañana será sábado;Qharurux samaña uruniwa
Mañana trabajaré temprano ¿y tú?;Qharuru x alwat irnaqä, jumas ti?
Mañana va haber examen;Qharurux yant’awiw utjani
Mañana yo voy a trabajar;Qharurux nayaw irnaqä wa
Me duel mucho;Wali w usutu
Me duele aquí;Akachaqaw usutu
Me duele demasiado hermano;Sintiw usutu jilata
Me duele desde ayer en la noche;Wasur arumat usutu
Me duele el diente;Nayarux laka ch’akha w usutu
Me duele el estómago;Pur aka usutu
Me duele el estómago y la cabeza;Purakampi p’iqimpiw usutu
Me duele el pie;K ayuw usutu
Me duele el pie;Kayuw usutu
Me duele el pie hermana;Kayu w usutu kullaka
Me duele el tobillo derecho;Kupi kayu muqu usutu
Me duele la cabeza;P’iqiw usutu
Me duele la cabeza;P'iqi w usutu
Me duele la columna;Wich’u k’iliw usutu
Me duele mi cuello;Naya r kunkaja w usut u
Me duele mi ojo;Nayraja w usutu
Me duele mis rodillas;Qunqurinaka jaw usutu
Me duele much o hermana Vilma;Sintiw usutu kullaka Vilma
Me duele mucha hermana Maria;Sintiw usutu kullaka María
Me duele mucho;Anchapuni w usutu
Me duele mucho la cabeza;P’iq’iw anchapuni usu tu
Me duele un poco, me lastimé jugando fútbol;Mä juk'akiw usutu , pelot anatas usuchastha
Me duele, me arde y también me pica;T’ijitu, waramitu ukhamarakiw ch’isitu
Me duelo el dedo pulgar;Tayka luk’anaw usutu
Me ha picado el sancudo y me duele poco;Ch’ampariw mich’intitu, ukat juk’akiw usutu
Me ha picado la abeja;Mamurayaw mich'intitu
Me he golpeado;K’ utha qasthwa
Me iré el día domingo;Inti uruw sar xä
Me iré hermana, hasta luego;Sarx ä kullaka, jikisiñkama
Me pic ó una abeja;Tamurayaw mich’intitu
Me torcí el pie;Kay q'iwsust wa
me voy;sarjañani
Mear;Chhuxuña
Mecer;Chhujuña
mechero;michichuwa
Mechero;paqiri
Mechero;kinkiya
Mechón;qulti
Mediano;murmu
Mediano;tantiyu
medianoche;chikäruma
Medianoche;Chika aruma
Medianoche;chika
Medicamento;qulla
medicina;qulla
Medida;kamaña
Medida;Tupuña
Medida de cereales u otros productos menudos que se estima levantándolos con ambas manos juntas;phuxtu
Medida de producto en costales que equivale a la cuarta parte de una carga;qallu
Medida de un costal lleno;tupu
Medio;chikja
Medio;taypi
Medio día él llegará;Chika uruw jupa x purini
medio, dedo anular y este dedo meñique;dedo pulgar, dedo índice, dedo mayor
Mediodía;Chika uru
mediodía;chikuru
Mediodía;chika
Medir;tupuña
Medir con palmo de la mano estirada;chhiyaña
Meditar;Lup’iña
Medroso;llajlla
mejilla;nawna
Mejor;Kusa
melancólico;khuya
melancólico;p’urp’u
Melindroso;chami
Melindroso;q’usu
Mella;Q’asa
Mellar;q’asaraña
melodía y baile en parejas;wayñu
Membrana;llika
Memoria;Amta
memorizar;amxäsiña
Mendigar;waxt’asiña
Mendigar;wajchasiña
Mendigo;waxt’asiri
Menear;Jiruña
Menguar;pisiqtaña
Menor;sullka
Menos;pisi
Menos 10 para las 07:00 de la tarde;Tunka k ’atanakampix paqallqu jayp ’u pachaniwa
Menoscabar;pisiptayaña
Menospreciar;Jisk’achaña
Mensaje;chaskiwi
Mensaje electrónico;qupucha
Mensajear;Qupuchaña
Mensajero;khitha
